Hanzi,Pinyin,O'zbekcha
佩服,pèifu,Havas qilmoq; hurmat qilmoq
配合,pèihé,Muvofiqlashtirmoq
盆,pén,Tog’ora; jom; tuvak
朋友,péngyou,Do’st
碰见,pèngjiàn,Uchratmoq (to’satdan)
披,pī,Tashlamoq qo’ymoq; yopinmoq
批,pī,Mustahkamlamoq; barqaror qilmoq
批评,pīpíng,Tanqid qilmoq; tanqid
批准,pīzhǔn,Barqaror qilmoq
皮肤,pífū,Teri
皮鞋,pixie,Charm tufli
啤酒,píjiǔ,Pivo
疲劳,píláo,Charchagan
脾气,píqi,Xarakter; fe’l-atvor; xulq
匹,pǐ,Hisob so’z (ot; xachirga)
篇,piān,Qism; bo’lim
便宜,piányi,Arzon
骗,piàn,Aldamoq
片,piàn,Bo’lak; qism; otkritka
片面,piànmiàn,Bir tomonlama
飘,piāo,Parvoz qilmoq; shoshib yurmoq
票,piào,Chipta; talon
漂亮,piàoliang,Chiroyli
频道,píndào,Telekanal
品种,pǐnzhǒng,Tip; tur; xil
乒乓球,pīngpāngqiú,Stol tennisi
凭,ping,Suyanmoq; tayanmoq
平,ping,To’g’ri; odatiy
平常,píngcháng,Odatda; odatiy
平等,píngděng,Teng huquqli
平方,píngfāng,Kvadrat
平衡,pínghéng,Muvozanat
平静,píngjìng,Tinchlanmoq; tinch
平均,píngjūn,Baravar; teng
平时,píngshí,Odatda; odatiy
苹果,píngguǒ,Olma
评价,píngjià,Narxlamoq; baho bermoq
瓶子,píngzi,Butilka; flakon
破,pò,Yirtilmoq; sinmoq
破产,pòchǎn,Kasod bo’lmoq; sinish
破坏,pòhuài,Buzmoq; vayron qilmoq; qulatmoq
迫切,pòqiè,Qat’iy; zaruriy; dolzarb
葡萄,pútao,Uzum
普遍,pǔbiàn,Umumiy; universal
普通话,pǔtōnghuà,Xitoy adabiy tili
朴素,pǔsù,Oddiy; kamtar
七,qī,Yetti
期待,qīdài,Kutmoq; umid qilmoq
期间,qījiān,Davr; vaqt; zamon
妻子,qīzi,Xotin
骑,qí,Minmoq
其次,qícì,Keyingi navbatda
其实,qíshí,Aslida
其他,qítā,Boshqa
其余,qíyú,Boshqalar
其中,qízhōng,Shu bilan birga; orasida
奇怪,qíguài,Hayratlanarli; o’zgacha
奇迹,qíjì,Mo’jiza; karomat
起床,qǐchuáng,Uyg’onmoq
起飞,qǐfēi,Uchmoq
起来,qǐlái,Fe’l qo’shimchasi (harakatning boshlanishini bildiradi)
启发,qǐfā,Ochilmoq; ochiq; oshkora
企图,qǐtú,Harakat qilmoq; urinib ko’rmoq
企业,qǐyè,Korxona
气氛,qìfēn,Atmosfera
气候,qìhòu,Ob-havo; iqlim
汽油,qìyóu,Benzin
牵,qiān,Tortmoq; yetaklamoq
千,qiān,Ming
千万,qiānwàn,Har qanday holatda
铅笔,qiānbǐ,Qalam
谦虚,qiānxū,Kamtarlik qilmoq; kamtar; sipo
签证,qiānzhèng,Viza
签字,qiānzì,Imzo chekmoq
钱,qián,Pul
前面,qiánmiàn,Oldin; oldinda
前途,qiántú,Istiqbol; kelajak
浅,qiǎn,Och rang; sayoz
欠,qiàn,Qarz olmoq
枪,qiāng,Miltiq; pistolet
墙,qiáng,Devor; panjara; to’siq
强调,qiángdiào,Ta’kidlamoq
强烈,qiángliè,Kuchli; mustahkam
抢,qiǎng,Tortib olmoq;olib qo’ymoq
敲,qiāo,Taqillatmoq; urmoq
悄悄,qiāoqiāo,Asta-asta; sekin-sekin
桥,qiáo,Ko’prik
瞧,qiáo,Qaramoq; boqmoq
巧克力,qiǎokèlì,Shokolad
巧妙,qiǎomiào,Mohir; o’quvli; ziyrak; epchil
切,qiē,Kesmoq; qirqmoq
亲爱,qīn'ài,Qadrli; aziz
亲戚,qīnqi,Qarindosh; urug’
亲切,qīnqiè,Yaqin; iliq
亲自,qīnzì,Shaxsan
侵略,qīnlüè,Bostirib kirmoq
勤奋,qínfèn,G’ayratli; tirishqoq
勤劳,qínláo,Mehnatsevar
青,qīng,Havorang; moviy; yashil
青春,qīngchūn,Yoshlik; yigitlik
青少年,qīngshàonián,O’smir; o’spirin
轻,qīng,Yengil
轻视,qīngshì,Mensimaslik
轻松,qīngsōng,Yengillashtirmoq; yengil
清楚,qīngchu,Tushunarli;ochiq; ravshan
清淡,qīngdàn,Yengil;yog’li emas; suyuq
晴,qíng,Yorqin; musaffo
情景,qíngjǐng,Vaziyat; rasm; sahna
情况,qíngkuàng,Vaziyat; holat
情绪,qíngxù,Kayfiyat; yomon kayfiyat
请,qǐng,Taklif qilmoq; iltimos qilmoq
请假,qǐngjià,Ta’til olmoq
请客,qǐngkè,Mehmon qilmoq
请求,qǐngqiú,Iltimos qilmoq
庆祝,qìngzhù,Nishonlamoq; qutlamoq
穷,qióng,Kambag’al; qurimoq; tugamoq
秋,qiū,Kuz; kuzgi
球迷,qiúmí,Muxlis
区别,qūbié,Ajratmoq; farqlamoq; farq
趋势,qūshì,Tendensiya; rag’bat
娶,qǔ,Uylanmoq; xotin olmoq
取,qǔ,Olmoq; qabul qilmoq
取消,qǔxiāo,Bekor qilmoq
去,qù,Bormoq; ketmoq
去年,qùnián,O’tgan yil
去世,qùshì,Vafot etmoq
圈,quān,O’tqizmoq (qamoqda); kiritmoq
全部,quánbù,Butun; butunlay
全面,quánmiàn,Har taraflama
权力,quánlì,Hokimlik qilmoq; hokimlik; vakolat
权利,quánlì,Qonun
劝,quàn,Ishontirmoq; ko’ndirmoq
缺点,quēdiǎn,Kamchilik
缺乏,quēfá,Kam bo’lmoq; yetmaslik
缺少,quēshǎo,Kam bo’lmoq; kamayuvchi; yetmaslik
却,què,Ammo
确定,quèdìng,Belgilamoq; aniqlamoq
确认,quèrèn,Tan olmoq; ta’kidlamoq
确实,quèshí,Ishonchli; haqiqiy; aniq
群,qún,To’p; to’da
裙子,qúnzi,Yubka
然而,rán'ér,Har holda; - ga qaramasdan
然后,ránhòu,Keyin
燃烧,ránshāo,Yonmoq; kuymoq
嚷,rǎng,Baqirmoq; bahslashmoq; urmoq
让,rang,Ruxsat bermoq; buyruq bermoq
绕,rào,O’ramoq; atrofida aylanmoq; aylantirmoq
热,rè,Issiq
热爱,rè'ài,Qattiq sevmoq
热烈,rèliè,Alangali; otashin; o’tli
热闹,rènao,Jo’shqin; jonli; qizg’in
热情,rèqíng,G’ayrat; ishtiyoq; qaynoq
热心,rèxīn,Ishtiyoq
人,rén,Odam
人才,réncái,Iste’dodlar; kadrlar
人口,rénkǒu,Aholi
人类,rénlèi,Insoniyat
人民币,rénmínbì,Xitoy pul birligi
人生,rénshēng,Inson hayoti
人事,rénshì,Kadrlar
人物,rénwù,Shaxs; inson; siymo
人员,rényuán,Shaxsiy tarkib
忍不住,rěnbuzhù,Toqat qila olmaslik
任何,rènhé,Har qanday; har bir
任务,rènwu,Vazifa; topshiriq
认识,rènshi,Tanimoq; tanishmoq
认为,rènwéi,Hisoblamoq
认真,rènzhēn,Astoydil; chin dildan
扔,rēng,Tashlamoq; uloqtirmoq
仍然,réngrán,Avvalgidek
日,rì,Quyosh; kun
日常,rìcháng,Kundalik; kunlik
日程,rìchéng,Jadval; kun tartibi
日记,rìjì,Kundalik
日历,rìlì,Kalendar
日期,rìqī,Kun; muhlat
日用品,rìyòngpǐn,Kundalik mahsulot
融化,rónghuà,Erimoq
荣幸,róngxìng,Faxr; iftixor
荣誉,róngyù,Faxr; iftixor; faxrli
容易,róngyì,Oson
如果,rúguǒ,Agar
如何,rúhé,Qanday qilib
如今,rújīn,Hozirda; hozirgi paytda
入口,rùkǒu,Daromad; kirim
软,ruǎn,Yumshoq
软件,ruǎnjiàn,Programma
弱,ruò,Kuchsiz; nimjon; zaif
洒,sǎ,Quyilmoq; to’kilmoq; yog’moq
三,sān,Uch
伞,sǎn,Soyabon
散步,sànbù,Sayr qilmoq
嗓子,sǎngzi,Tomoq; ovoz
森林,sēnlín,O’rmon
杀,shā,O’ldirmoq
沙发,shāfā,Divan
沙漠,shāmò,Sahro; biyobon
沙滩,shātān,Qumloq sayozlik; plyaj
傻,shǎ,Ahmoq
晒,shài,Quritmoq
删除,shānchú,O’chirmoq
闪电,shǎndiàn,Yashin; chaqmoq
善良,shànliáng,Ochiqko’ngil
善于,shànyú,O’quvli bo’lmoq
扇子,shànzi,Yelpig’ich
商店,shāngdiàn,Magazin; do’kon
商量,shāngliang,Muhokama qilmoq
商品,shāngpǐn,Mahsulot
商业,shāngyè,Savdo
伤心,shāngxīn,Hafa bo’lmoq; qayg’urmoq
上,shàng,O’tgan ; yuqori; ust
上班,shàngbān,Ishga bormoq
上当,shàngdàng,Qo’lga tushmoq
上网,shàngwǎng,Internetga kirmoq
上午,shàngwǔ,Ertalab
稍微,shāowēi,Ozgina
勺子,sháozi,Qoshiq
少,shǎo,Kam; oz
蛇,shé,Ilon
舌头,shétou,Til
舍不得,shěbude,Afsus
设备,shèbèi,Asbob-uskuna; jihoz
设计,shèjì,Loyihalashtirmoq; rejalashtirmoq
设施,shèshī,Inshoot; imorat
社会,shèhuì,Jamiyat; uyushma
射击,shèjī,O’q otmoq; o’qchilar
摄影,shèyǐng,Suratga olmoq
谁,shéi,Kim?
伸,shēn,Cho’zmoq; tortmoq
深,shēn,Chuqur; to’q
深刻,shēnkè,Chuqur; jiddiy
身材,shēncái,Bo’y; gavda
身份,shēnfèn,Qiyofa; fazilat
身体,shēntǐ,Sog’lik; tana
申请,shēnqǐng,Ariza bermoq
神话,shénhuà,Afsona
神经,shénjīng,Asab; asabi tajang
神秘,shénmì,Jumboqli; sirli
什么,shénme,Nima? Qaysi?
甚至,shènzhì,Hatto; hattoki
升,shēng,Ko’tarilmoq; yuqorilamoq; litr
生病,shēngbìng,Kasal bo’lmoq
生产,shēngchǎn,Ishlab chiqarmoq
生动,shēngdòng,Jonli; yaqqol; yorqin
生活,shēnghuó,Hayot; mavjudlik
生命,shēngmìng,Hayot
生气,shēngqì,Achchiqlanmoq
生日,shēngrì,Tug’ilgan kun
声调,shēngdiào,Ohang
声音,shēngyīn,Tovush; ovoz
绳子,shéngzi,Arqn
省,shěng,Tejamoq; provinsiya; viloyat
省略,shěnglüè,Qisqartirish; qisqarish
剩,shèng,Qolmoq; qoldiq bo’lmoq
胜利,shènglì,G’alaba; omad
诗,shī,She’r
失败,shībài,Yutqizmoq
失眠,shīmián,Uyqusizlik
失去,shīqù,Yo’qotmoq
失望,shīwàng,Umidsizlikka tushmoq; ko’ngli qolmoq
失业,shīyè,Ishini yo’qotmoq; ishsiz
师傅,shīfu,Murabbiy; ustoz
湿润,shīrùn,Nam; zax; ho’l
狮子,shīzi,Sher
十,shí,O’n
十分,shífēn,Juda ham; butun
时代,shídài,Asr; davr; zamon
时候,shíhou,Payt; vaqt
时间,shíjiān,Payt; vaqt
时刻,shíkè,Payt; vaqt
时髦,shímáo,Zamonaviy
时期,shíqī,Davr
时尚,shíshàng,Zamonaviy; mashhur
实话,shíhuà,To’g’ri; to’g’ri so’z
实际,shíjì,Haqiqiy
实践,shíjiàn,Amaliyot
实习,shíxí,Amaliyot o’tamoq; amaliyot
实现,shíxiàn,Amalga oshmoq; ro’yobga chiqmoq
实行,shíxíng,Amalga oshirmoq
实验,shíyàn,Tajriba o’tkazmoq; tajriba
实用,shíyòng,Amaliyotda qo’llamoq
实在,shízài,Haqiqiy
食品,shípǐn,Mahsulot; don mahsulotlari
食物,shíwù,Oziq-ovqat
石头,shítou,Tosh
使,shǐ,Qo’llamoq; foydalanmoq
使劲儿,shǐjìnr,Qunt qilmoq
使用,shǐyòng,Foydalanmoq
始终,shǐzhōng,Har doim
是,shì,Bo’lmoq; to’g’ri
是否,shìfǒu,Ha yoki yo’q
试,shì,Sinab ko’rmoq; tekshirib ko’rmoq; imtihon
试卷,shìjuàn,Imtihon ishi (yozma)
士兵,shìbīng,Askar
市场,shìchǎng,Bozor
似的,shìde,Xuddi; kabi
适合,shìhé,Mos kelmoq; loyiq kelmoq
适应,shìyìng,Muvofiqlashtirmoq
世纪,shìjì,Asr
世界,shìjiè,Dunyo
事情,shìqing,Voqea; hodisa; ish
事实,shìshí,Dalil; voqelik; ahvol
事物,shìwù,Hodisa; voqea
事先,shìxiān,Oldindan; barvaqt
收,shōu,Olmoq; qabul qilmoq
收获,shōuhuò,Hosilni yig’moq
收据,shōujù,Kvitansiya
收入,shōurù,Daromad; kirim
收拾,shōushi,Tartibga keltirmoq
手表,shǒubiǎo,Qo’l soat
手工,shǒugōng,Qo’l mehnati; hunar; kasb
手机,shǒujī,Qo’l telefon
手术,shǒushù,Operatsiya
手套,shǒutào,Qo’lqop
手续,shǒuxù,Jarayon; rasmiyatchilik
手指,shǒuzhǐ,Barmoq
首都,shǒudū,Poytaxt
首先,shǒuxiān,Avvalambor; avval
瘦,shòu,Ozg’in; yog’siz
受不了,shòubuliǎo,Juda og’ir
受到,shòudào,Qabul qilmoq; ishlatmoq
受伤,shòushāng,Shikastlanmoq
售货员,shòuhuòyuán,Sotuvchi
寿命,shòumìng,Umr; hayot
书,shū,Kitob
书架,shūjià,Kitob javoni
输,shū,Yutqizmoq
输入,shūrù,Mol keltirmoq
蔬菜,shūcài,Sabzavotlar
舒服,shūfu,Qulay; komfort
舒适,shūshì,Qulay
叔叔,shūshu,Amaki (otaning ukasi)
梳子,shūzi,Taroq
熟练,shúliàn,Tajribali
熟悉,shúxī,Yaxshi tanimoq
鼠标,shǔbiāo,Sichqoncha
属于,shǔyú,Tegishli bo’lmoq
树,shù,Daraxt
数据,shùjù,Raqamli ma’lumotlar
数量,shùliàng,Son; miqdor
数码,shùmǎ,Raqamli
数学,shùxué,Matematika
数字,shùzì,Raqam; raqamli
刷牙,shuāyá,Tishni yuvmoq
摔,shuāi,Tashlamoq; yiqilmoq
甩,shuǎi,Silkitmoq; uzib ketmoq
帅,shuài,Kelishgan; basavlat
双,shuāng,Juft
双方,shuāngfāng,Tomon; ikki tomon
水,shuǐ,Suv
水果,shuǐguǒ,Meva; mevali
水平,shuǐpíng,Daraja; gorizontal
税,shuì,Soliq; yig’im
睡觉,shuìjiào,Uxlamoq
顺便,shùnbiàn,Yo’l-yo’lakay; shu bilan birga
顺利,shùnlì,Omadli
顺序,shùnxù,Tartib
说不定,shuōbudìng,Balkim
说服,shuōfú,Ishontirmoq
说话,shuōhuà,Suhbatlashmoq
说明,shuōmíng,Tushuntirmoq
硕士,shuòshì,Magistr
撕,sī,Sug’urmoq; kovlab olmoq; uzmoq
丝绸,sīchóu,Ipak
丝毫,sīháo,Zarracha; ozgina
司机,sījī,Haydovchi
思考,sīkǎo,Fikr yuritmoq; o’ylamoq
思想,sīxiǎng,Fikr; dunyoqarash
私人,sīrén,Xususiy; shaxsiy
死,sǐ,O’lmoq
四,sì,To’rt
似乎,sìhū,Xuddi; singari
寺庙,sìmiào,Monastir
送,song,Eltmoq; sovg’a qilmoq
速度,sùdù,Tezlik
塑料袋,sùliàodài,Sellofan paket
宿舍,sùshè,Yotoqxona
酸,suān,Nordon
算,suàn,Hisoblamoq
虽然,suīrán,- ga qaramasdan; - sa ham
随便,suíbiàn,Bemalol
随时,suíshí,Hamisha; xohlagan payt
随着,suízhe,Izidan; ketidan
岁,suì,Yosh; yil
碎,suì,Maydalangan; mayda; parcha
孙子,sūnzi,Nabira
损失,sǔnshī,Yo’qotmoq; ziyon; talofat
缩短,suōduǎn,Bo’ysundirmoq
缩小,suōxiǎo,Kamaytirmoq; qisqartirmoq
锁,suǒ,Qulf
所,suǒ,Joy; hisob so’z (maktabga)
所谓,suǒwèi,Shunday deb ataladigan
所以,suǒyǐ,Shuning uchun
所有,suǒyǒu,Butun; mulk; egalik
他,tā,U (muj. rod)
她,tā,U (jens. rod)
它,tā,U (jonsiz predmetga)
塔,tǎ,Minora; ibodatxona
抬,tái,Ko’tarilmoq
台,tái,Sahna; minora
台阶,táijiē,Zinapoya
太,tài,Judayam
太极拳,tàijíquán,Xitoy sport kurashi
太太,tàitai,Xonim
太阳,tàiyáng,Quyosh
态度,tàidu,Munosabat
谈,tán,Suhbatlashmoq; muhokama qilmoq
谈判,tánpàn,Muzokara
弹钢琴,tán gāngqín,Pianino chalmoq
坦率,tǎnshuài,Ko’ngli ochiq
汤,tāng,Sho’rva
糖,tang,Shakar; shirinlik; konfet
躺,tǎng,Yotmoq
烫,tang,Kuydirmoq; qaynoq
趟,tang,Marta; hisob so’z poyezdga
桃,táo,Shaftoli
逃,táo,Yugurmoq; qochmoq
逃避,táobì,O’zini chetga olmoq
讨论,tǎolùn,Muhokama qilmoq
讨厌,tǎoyàn,Bezor qilmoq; jonga tegmoq
套,tào,Jild; quti; osmoq; ilmoq; kiymoq
特别,tèbié,Ayniqsa; asosiy
特点,tèdiǎn,Xususiyat; o’ziga xoslik
特殊,tèshū,Asosiy; o’zgacha
特意,tèyì,Atayin
特征,tèzhēng,Xususiyat; o’ziga xos xususiyat
疼,téng,Og’rimoq; og’riq
疼爱,téng'ài,Qattiq sevmoq
踢足球,tī zúqiú,Futbol o’ynamoq
提,tí,Qo’liga olmoq
提倡,tíchàng,Kurashmoq; jonbozlik ko’rsatmoq
提纲,tígāng,Tezis; konspekt
提高,tígāo,Ko’tarilmoq
提供,tígōng,Taqdim qilmoq; bermoq
提前,tíqián,Muddatidan oldin; vaqtidan ilgari
提问,tíwèn,So’ramoq; savol bermoq
提醒,tíxǐng,Yodga solmoq; esiga solmoq
题,tí,Mavzu; muammo; savol
题目,tímù,Sarlavha; mavzu; nom
体会,tǐhuì,Tushuncha
体积,tǐjī,Hajm
体贴,tǐtiē,G’amxo’rlik qilmoq
体现,tǐxiàn,Gavdalantirmoq; mujassamlantirmoq; timsol
体验,tǐyàn,Anglamoq; bilmoq
体育,tǐyù,Sport; jismoniy tarbiya
天空,tiānkōng,Osmon
天气,tiānqì,Ob-havo
天真,tiānzhēn,Soddadil; oddiy; anoyi
甜,tián,Shirin
填空,tiánkòng,To’ldirmoq; bo’sh joyni to’ldirmoq
田野,tiányě,Kenglik; polya
条,tiáo,Hisob so’z (uzun narsalarga)
条件,tiáojiàn,Shart; sharoit; shartli
调皮,tiáopí,Ayyorlik qilmoq; ayyor
调整,tiáozhěng,Tartibga solmoq
挑战,tiǎozhàn,Jig’iga tegib urush chiqarmoq
跳舞,tiàowǔ,Raqsga tushmoq
听,tīng,Eshitmoq
停止,tíngzhǐ,To’xtatmoq
挺,tǐng,Juda
通常,tōngcháng,Odatiy
通过,tōngguò,O’tmoq; orqali o’tmoq
通讯,tōngxùn,Aloqada bo’lmoq; xat yozishmoq
通知,tōngzhī,Xabardor qilmoq; e’lon
铜,tong,Mis
同情,tóngqíng,Hamdard bo’lmoq; hamdard
同时,tóngshí,Bir vaqtda
同事,tóngshì,Hamkasb; xizmatdosh
同学,tóngxué,Kursdosh; sinfdosh
同意,tóngyì,Rozi bo’lmoq; rozilik
统一,tǒngyī,Birlashtirmoq; yagona
统治,tǒngzhì,Hokimlik qilmoq; ustun bo’lmoq
痛苦,tòngkǔ,Azoblanmoq; azob; ozor
痛快,tòngkuài,Yoqimli; xursand
头发,tóufa,Soch
投资,tóuzī,Sarflangan mablag’; investitsiya
透明,tòumíng,Tiniq; harir; aniq
突出,tūchū,O’pirilmoq; turtib chiqmoq
突然,tūrán,To’satdan
图书馆,túshūguǎn,Kutubxona
土地,tǔdì,Yer
土豆,tǔdòu,Kartoshka
吐,tù,Qayt qilmoq; ko’ngli aynimoq
兔子,tùzi,Quyon; bachchavoz
团,tuán,Guruh; tashkilot
推,tuī,Itarmoq; turtmoq
推迟,tuīchí,Kechiktirmoq
推辞,tuīcí,Rad etmoq
推广,tuīguǎng,Kengaytirmoq
推荐,tuījiàn,Tavsiya qilmoq
腿,tuǐ,Oyoq
退,tuì,Orqaga yurmoq
退步,tuìbù,Inqirozga uchramoq; inqiroz
退休,tuìxiū,Nafaqaga chiqmoq
脱,tuō,Yechmoq
袜子,wàzi,Paypoq
歪,wāi,Qiyshaymoq; qiyshiq; egri
外,wài,Tashqi; tashqari
外交,wàijiāo,Tashqi aloqa; diplomatiya
弯,wān,Egmoq; bukmoq
完,wán,Tugatmoq
完成,wánchéng,Tugatmoq
完美,wánměi,Mukammal; ideal
完全,wánquán                  Butunlay 1861. 完善      [wánshàn,Benuqson; mukammal
完整,wánzhěng,To’liq; tugallangan; yaxlit; butun
玩,wán,Sayr qilmoq; o’ynamoq
玩具,wánjù,O’yinchoq; o’yinlar
碗,wǎn,Kosa; piyola
晚上,wǎnshang,Kechqurun
万,wàn,O’n ming
万一,wànyī,Tasodif; tasodifiy
王子,wángzǐ,Shahzoda
往,wǎng,- ga; - ga burilmoq
往返,wǎngfǎn,Borish va qaytish
往往,wǎngwǎng,Doimo; ko’pincha
网球,wǎngqiú,Tennis
网站,wǎngzhàn,Veb-sayt
忘记,wàngjì,Unutmoq
危害,wēihài,Zarar yetkazmoq
危险,wēixiǎn,Xavf; xavfli
微笑,wēixiào,Kulmoq; kulgu
威胁,wēixié,Qo’rqitmoq; xavf tug’dirmoq; xavf
违反,wéifǎn,Qarshilik qilmoq
维护,wéihù,Himoya qilmoq; himoya
围巾,wéijīn,Sharf
围绕,wéirào,Bog’lamoq; o’rab olmoq
唯一,wéiyī,Yagona
尾巴,wěiba,Dum
伟大,wěidà,Buyuk
委屈,wěiqu,Xafa qilmoq; xafalik
委托,wěituō,Topshirmoq; vakolat bermoq
喂,wèi,Ovqatlantirmoq; a’lo
胃,wèi,Qorin
为,wèi,Uchun
为了,wèile,Uchun
为什么,wèi shénme,Nima uchun?
位,wèi,Joy; vaziyat; hisob so’z (odamga; hurmat ma’nosida)
位置,wèizhì,Joy
未必,wèibì,Ixtiyoriy
未来,wèilái,Kelajak; kelajakda
味道,wèidào,Ta’m
卫生间,wèishēngjiān,Vanna va xojatxona
温度,wēndù,Harorat
温暖,wēnnuǎn,Iliq
温柔,wēnróu,Yumshoq; nozik
闻,wén,Eshitmoq; hidlamoq; iskamoq
文化,wénhuà,Madaniyat
文件,wénjiàn,Hujjat; rasmiy qog’oz
文具,wénjù,Rasmiy hujjat
文明,wénmíng,Madaniyat; sivilizatsiya
文学,wénxué,Adabiyot
文章,wénzhāng,Maqola; insho
吻,wěn,Bo’sa olmoq; o’pmoq
稳定,wěndìng,Barqaror; turg’un
问,wèn,So’ramoq
问候,wènhòu,Salom yo’llamoq
问题,wèntí,Savol; muammo
我,wǒ,Men
我们,wǒmen,Biz
卧室,wòshì,Yotoqxona
握手,wòshǒu,Qo’l berib ko’rishmoq
污染,wūrǎn,Iflos qilmoq; bulg’amoq
屋子,wūzi,Xona
无,wú,Yo’q; - maslik
无聊,wúliáo,Zerikarli
无论,wúlùn,Hech narsaga qaramasdan; nima bo’lsa-da farqi yo’q
无奈,wúnài,Notavon
无数,wúshù,Son-sanoqsiz
五,wǔ,Besh
武器,wǔqì,Qurol
武术,wǔshù,Ushu
雾,wù,Tuman
误会,wùhuì,Anglashilmovchilik; noto’g’ri tushuncha
物理,wùlǐ,Fizika
物质,wùzhì,Modda; materiya
西,xī,G’arb
西瓜,xīguā,Tarvuz
西红柿,xīhóngshì,Pomidor; tomat
吸收,xīshōu,Emmoq; shimmoq
吸引,xīyǐn,O’ziga tortmoq
希望,xīwàng,Umid qilmoq; umid
习惯,xíguàn,Odatlanmoq; odat
洗,xǐ,Yuvmoq; cho’milmoq
洗手间,xǐshǒujiān,Xojatxona
洗衣机,xǐyījī,Kir yuvish mashinasi
洗澡,xǐzǎo,Yuvinmoq; cho’milmoq
喜欢,xǐhuan,Yoqtirmoq
系,xì,Bog’lamoq; fakultet
系统,xìtǒng,Sistema; tartib
细节,xìjié,Batafsillik; tafsilot
戏剧,xìjù,Drama; teatr
瞎,xiā,Ko’r bo’lmoq; ko’r
吓,xià,Qo’rqmoq
夏,xià,Yoz; yozgi
下,xià,Past; kelasi; ost
下午,xiàwǔ,Tushdan keyin
下雨,xià yǔ,Yomg’ir yog’moq
下载,xiàzài,Ko’chirib olmoq (ma’lumotni)
先,xiān,Avval; birinchi
先生,xiānsheng,Janob
鲜艳,xiānyàn,Sersuv; rangdor; yorqin
咸,xián,Sho’r
显得,xiǎnde,Tuyulmoq
显然,xiǎnrán,Aniq; ravshan; shubhasiz
显示,xiǎnshì,Ko’rsatmoq; namoyish qilmoq
县,xiàn,Uyezd
现代,xiàndài,Zamonaviy
现金,xiànjīn,Naqd pul
现实,xiànshí,Haqiqat; haqiqiy
现象,xiànxiàng,Tuyulmoq; fenomen
现在,xiànzài,Hozir
羡慕,xiànmù,Havas qilmoq
限制,xiànzhì,Cheklamoq; cheklash
香,xiāng,Xushbo’y
香蕉,xiāngjiāo,Banan
相处,xiāngchǔ,Birga yashamoq
相当,xiāngdāng,Munosib; mos; mamnunlik
相对,xiāngduì,O’zaro qarshi turmoq
相反,xiāngfǎn,Qarshi
相关,xiāngguān,Aloqada bo’lmoq; taalluqli bo’lmoq
相似,xiāngsì,O’xshash; monand; xuddi
相同,xiāngtóng,Bir-biriga aynan o’xshash
相信,xiāngxìn,Ishonmoq; ishontirmoq
详细,xiángxì,Batafsil; mufassal
响,xiǎng,Jarangli; jarangdor
想,xiǎng,Xohlamoq; o’ylamoq
想念,xiǎngniàn,Sog’inmoq; o’ylamoq; xavotirlanmoq
想象,xiǎngxiàng,Tasavvur qilmoq
享受,xiǎngshòu,Mamnuniyat
向,xiàng,- ga (jo’nalish k.)
像,xiàng,O’xshamoq; xuddi; rasm
项,xiàng,Bo’lim; qism
项链,xiàngliàn,Marjon; shoda
项目,xiàngmù,Bo’lim; bob; qism
橡皮,xiàngpí,O’chirg’ich; rezina
象棋,xiàngqí,Shaxmat
象征,xiàngzhēng,Ramz; ramziy
消费,xiāofèi,Iste’mol qilmoq
消化,xiāohuà,Hazm qilmoq; hazm qilish
消灭,xiāomiè,Qirib tashlamoq;yo’q qilmoq
消失,xiāoshī,Yo’qolmoq; yo’q bo’lmoq
销售,xiāoshòu,Sotmoq; pullamoq
消息,xiāoxi,Yangilik; xabar
小,xiǎo,Kichkina
小吃,xiǎochī,Gazak; yaxna taom
小伙子,xiǎohuǒzi,Yigit; o’spirin
小姐,xiǎojiě,Xonim (xizmatchi)
小麦,xiǎomài,Bug’doy
小气,xiǎoqi,Ziqna; qurumsoq; mayda gap
小时,xiǎoshí,Soat
小说,xiǎoshuō,Roman; qissa
小偷,xiǎotōu,O’g’ri
小心,xiǎoxīn,Ehtiyot bo’lmoq
笑,xiào,Kulmoq; kulgu
笑话,xiàohua,Hazil
效果,xiàoguǒ,Natija; omad
效率,xiàolǜ,Unumdorlik
孝顺,xiàoshun,Hurmat qilmoq
校长,xiàozhǎng,Rektor; direktor
些,xiē,Ozgina
歇,xiē,Dam olmoq; to’xtatmoq
斜,xié,Pastlashmoq; qiya
鞋,xié,Tufli; botinka
协调,xiétiáo,Uyg’unlashtirmoq; moslashtirmoq
写,xiě,Yozmoq
谢谢,xièxie,Rahmat
新,xīn,Yangi
新闻,xīnwén,Xabar; yangilik
新鲜,xīnxiān,Toza; sof; yangi
辛苦,xīnkǔ,Charchamoq
心理,xīnlǐ,Psixika; psixologiya
心情,xīnqíng,Kayfiyat
心脏,xīnzàng,Yurak
欣赏,xīnshǎng,Zavqlanmoq
信,xìn,Ishonmoq; xat
信封,xìnfēng,Konvert
信号,xìnhào,Signal; xabar
信任,xìnrèn,Ishonmoq; ishonch
信息,xìnxī,Xabar; yangilik
信心,xìnxīn,Ishonch
信用卡,xìnyòngkǎ,Kredit kartasi; plastik karta
兴奋,xīngfèn,Xursand; hayajonli; ruhlangan
星期,xīngqī,Hafta
行,xíng,Bo’ladi
行动,xíngdòng,Harakatlanmoq; harakat; hodisa
行李箱,xínglixiāng,Chamadon
